Landing Page URL ID,Referrer URL,Impression ID,Asset ID,Active View: Eligible Impressions,Active View: Measurable Impressions,Active View: Viewable Impressions,Activity ID,Event Time,Event Type,Event Sub-Type,User ID,Advertiser ID
ID38,https://shopping.google.fr/,impr4,3896254,2569833,8932983,4080697,8916918,1643894553612,NULL,6762543,USER_ID6,896750
ID39,https://fr.aliexpress.com/,impr8,5228975,1887244,8229489,1777639,5648443,1643894553712,NULL,7334594,USER_ID4,1589564
ID40,https://shopping.google.fr/,impr2,6433844,9943573,4967563,3046993,8877754,1643894553814,VIEW,6414482,USER_ID4,5818738
ID41,https://www.cdiscount.com/,impr7,9581285,7685837,7894451,3412851,4801588,1643894553959,VIEW,3240080,USER_ID9,4057631
ID42,https://www.amazon.fr/,"impr,",3307221,5608481,8612198,5834578,2270156,1643894554100,CLICK,7254104,USER_ID ,1186338
ID43,https://shopping.google.fr/,impr ,161321,6820867,3229322,1949523,7914496,1643894554273,NULL,893907,USER_ID6,6062422
ID44,https://www.amazon.fr/,impr2,8013824,4345082,9803102,8988710,9103597,1643894554375,CONVERSION,1121508,USER_ID3,6166801
ID45,https://www.cdiscount.com/,impr0,3091119,1979976,1018370,7667427,8129762,1643894554479,VIEW,8124385,USER_ID0,6213123
ID46,https://shopping.google.fr/,impr0,7962879,53038,4540343,5469640,4956383,1643894554625,NULL,7729481,USER_ID4,1341436
ID47,https://fr.aliexpress.com/,impr3,1983382,4736859,5216290,1419976,7207492,1643894554771,VIEW,9391306,USER_ID5,594094
ID48,https://www.amazon.fr/,impr6,5941409,2793297,5741791,9106391,1358962,1643894554883,CONVERSION,6603025,USER_ID2,744849
ID49,https://www.cdiscount.com/,impr0,9430043,724915,301964,9403763,5552812,1643894555014,VIEW,352105,USER_ID0,7063136
ID50,https://www.amazon.fr/,impr5,4401484,6340959,3454954,7839908,7026344,1643894555252,CONVERSION,269558,USER_ID8,6361510
ID51,https://www.amazon.fr/,impr0,865558,9538335,1465396,8378275,7919573,1643894555394,CLICK,4189338,"USER_ID,",7746358
ID52,https://www.amazon.fr/,impr8,6723989,7334707,3159711,5184095,316518,1643894555512,CLICK,8352771,USER_ID9,2723060
ID53,https://shopping.google.fr/,impr6,9433899,1983233,8828633,7357647,8196900,1643894555616,NULL,6246925,USER_ID8,3242813
ID54,https://fr.aliexpress.com/,"impr,",79285,8335897,177053,5796029,6864878,1643894555749,CLICK,2967404,USER_ID9,2260191
ID55,https://www.cdiscount.com/,impr5,518428,6805819,3006523,9625110,5044878,1643894555865,CONVERSION,5706834,USER_ID8,3271455
ID56,https://shopping.google.fr/,impr7,4577487,7014989,5582163,3449611,4249018,1643894555977,CONVERSION,1168527,USER_ID4,8870931
ID57,https://fr.aliexpress.com/,"impr,",4533779,6101352,470681,1340159,137696,1643894556068,CONVERSION,7228938,USER_ID7,9823104
ID58,https://fr.aliexpress.com/,impr2,2962873,4439850,8126082,1337153,9448575,1643894556158,NULL,5617027,USER_ID3,2879686
ID59,https://fr.aliexpress.com/,impr2,499267,1014524,5044969,7508178,5209341,1643894556252,NULL,7079906,USER_ID5,5849170
ID60,https://www.cdiscount.com/,impr9,5964266,3985596,3993520,8790940,7480893,1643894556355,CLICK,7213734,USER_ID0,3655707
ID61,https://www.cdiscount.com/,impr ,7069946,1779209,3998045,2918185,3142968,1643894556476,NULL,9262033,USER_ID3,3357679
ID62,https://www.amazon.fr/,"impr,",1987747,5800701,1398435,6291825,9173135,1643894556599,VIEW,3410560,"USER_ID,",3665318
ID63,https://www.cdiscount.com/,impr4,6606854,4502258,9638263,3415875,4013191,1643894556697,CLICK,5174173,USER_ID2,2262719
ID64,https://www.amazon.fr/,impr8,753055,1984038,2821601,2377738,185800,1643894556817,VIEW,5185507,"USER_ID,",4792503
ID65,https://www.cdiscount.com/,"impr,",7730471,51056,7609706,8771461,2223833,1643894556933,CLICK,6020305,USER_ID6,6215539
ID66,https://shopping.google.fr/,impr3,2244360,8198387,547676,4962058,9697674,1643894557049,CLICK,2166843,USER_ID1,9710660
ID67,https://shopping.google.fr/,impr0,3152275,686982,1725704,689909,2930598,1643894557184,CONVERSION,4457855,USER_ID6,3090189
ID68,https://fr.aliexpress.com/,"impr,",4579151,3143260,5519373,2729399,5159959,1643894557313,CLICK,8480772,USER_ID6,1949249
ID69,https://www.cdiscount.com/,impr6,3862001,4008554,9120883,1746205,3901034,1643894557414,VIEW,4480983,USER_ID6,6986328
ID70,https://fr.aliexpress.com/,impr ,5437655,5531178,3591666,3964725,695215,1643894557515,NULL,8899164,USER_ID0,5982306
ID71,https://fr.aliexpress.com/,impr1,1861631,8116265,1057292,1864091,6913759,1643894557628,NULL,696322,USER_ID5,1381855
ID72,https://www.cdiscount.com/,impr2,1790246,3782308,3411824,1175759,3618967,1643894557749,NULL,3431358,"USER_ID,",3182940
ID73,https://fr.aliexpress.com/,impr1,2947738,254217,1231946,8669626,3158082,1643894557855,CONVERSION,8962720,USER_ID2,6578014
ID74,https://shopping.google.fr/,impr6,7409077,596478,6081492,3298280,3267623,1643894557982,CONVERSION,8922920,USER_ID ,6413671
ID75,https://fr.aliexpress.com/,impr ,6474660,3838407,2750857,3384519,2023722,1643894558083,VIEW,8278893,USER_ID7,8005772
ID76,https://shopping.google.fr/,impr4,7706728,3806885,128892,9201603,3527929,1643894558211,NULL,1002954,USER_ID7,3443985
ID77,https://fr.aliexpress.com/,impr7,8487391,5353585,8675285,8935460,6698017,1643894558314,CLICK,5621218,"USER_ID,",4753331
ID78,https://www.amazon.fr/,impr9,987856,6567388,1310295,7677831,1384878,1643894558413,CONVERSION,7924371,USER_ID6,2221547
ID79,https://fr.aliexpress.com/,impr2,8384955,1603672,9300688,7725408,2954217,1643894558519,NULL,4082606,"USER_ID,",53736
ID80,https://www.cdiscount.com/,"impr,",7318326,7920344,9424495,8100392,8388932,1643894558646,CONVERSION,4135478,USER_ID ,3264724
ID81,https://fr.aliexpress.com/,impr ,9573850,1372972,9142179,7979393,8689113,1643894558757,CLICK,5543196,USER_ID3,5118013
ID82,https://www.amazon.fr/,impr ,7717808,9266953,6642696,8203910,8408809,1643894558864,NULL,7705514,USER_ID1,1071892
ID83,https://www.cdiscount.com/,impr ,9959218,8970169,8746555,7807638,2491585,1643894559009,NULL,4217881,USER_ID3,4169527
ID84,https://www.amazon.fr/,impr9,3611906,8274673,150162,8925905,7540456,1643894559125,NULL,4154447,USER_ID4,7959976
ID85,https://www.cdiscount.com/,impr8,1657689,6278912,5502645,8327422,7140416,1643894559222,CLICK,8235759,USER_ID2,8754905
ID86,https://www.amazon.fr/,impr5,367775,9595264,6075130,9105227,3039222,1643894559330,CLICK,776352,USER_ID5,1091760
ID87,https://shopping.google.fr/,impr4,2056725,3927205,5378165,6870942,8485184,1643894559649,CONVERSION,4435634,"USER_ID,",9425048
ID88,https://fr.aliexpress.com/,impr1,2429651,4784706,1400662,1479141,6261249,1643894559801,NULL,8859501,USER_ID ,5088139
ID89,https://shopping.google.fr/,impr6,2888584,2119366,5162763,7938657,636742,1643894559923,NULL,468490,USER_ID5,4790347
ID90,https://shopping.google.fr/,"impr,",5206199,7693855,2602817,9985909,5223496,1643894560041,VIEW,645374,USER_ID6,5241092
ID91,https://www.amazon.fr/,impr4,8538570,2133995,2127081,5186084,1963472,1643894560145,NULL,3077506,USER_ID4,6657905
ID92,https://fr.aliexpress.com/,impr6,6945653,4412370,1998193,325194,5644648,1643894560247,VIEW,5004072,USER_ID0,7738373
ID93,https://shopping.google.fr/,impr4,4126466,6715937,4270322,5161210,9105911,1643894560366,VIEW,1572483,USER_ID9,5831309
ID94,https://fr.aliexpress.com/,impr1,7253669,3802023,937488,574272,387814,1643894560469,VIEW,2824445,USER_ID5,5290266
ID95,https://www.cdiscount.com/,impr8,8328684,8809650,60094,3040594,3007271,1643894560570,VIEW,4515066,USER_ID0,6367219
ID96,https://www.amazon.fr/,impr7,5131854,9916753,4190324,1561255,4050944,1643894560703,VIEW,1033869,USER_ID0,8728173
ID97,https://shopping.google.fr/,impr5,7223398,8012990,1849389,4424104,972742,1643894560800,VIEW,8052506,USER_ID7,8213367
ID98,https://fr.aliexpress.com/,impr2,1155027,8212474,8393923,4499625,6575106,1643894560899,CLICK,3567796,USER_ID5,4975438
ID99,https://www.amazon.fr/,impr3,9455554,5304989,9335128,4463946,2076234,1643894560998,VIEW,9963536,USER_ID0,7525799
ID100,https://www.cdiscount.com/,"impr,",6435886,1465331,4907621,6069044,6539508,1643894561099,CONVERSION,1820164,USER_ID3,8783755
ID101,https://shopping.google.fr/,impr6,2726405,5405032,5285636,300902,1169268,1643894561193,NULL,3713901,USER_ID4,5737716
ID102,https://www.amazon.fr/,impr0,548604,2907493,2585453,4514754,3301856,1643894561292,CLICK,1540517,USER_ID5,1750913
ID103,https://www.cdiscount.com/,impr ,5559214,5747587,9006526,3660518,88438,1643894561403,CLICK,8128280,USER_ID5,4233728
ID104,https://shopping.google.fr/,impr7,542318,8085745,3775484,1925132,1724969,1643894561518,VIEW,7147044,USER_ID6,9296198
ID105,https://www.amazon.fr/,impr1,8267358,7480794,45540,272688,3887147,1643894561616,CONVERSION,6771245,USER_ID0,551101
ID106,https://shopping.google.fr/,"impr,",9407005,8320936,9042245,2025706,7291213,1643894561716,CONVERSION,2236961,USER_ID9,2783311
ID107,https://www.cdiscount.com/,impr7,9595973,568111,8303059,8539792,666686,1643894561814,VIEW,920743,USER_ID4,7133083
ID108,https://shopping.google.fr/,impr1,989036,9472963,4448434,4090254,1556265,1643894561939,VIEW,3163067,USER_ID4,8350839
ID109,https://fr.aliexpress.com/,impr5,1828022,4555991,5142269,4890723,736611,1643894562048,CONVERSION,382452,USER_ID1,7243095
ID110,https://www.amazon.fr/,impr8,4046626,9470924,643843,2078525,4775190,1643894562149,NULL,2313276,USER_ID2,9983688
ID111,https://www.cdiscount.com/,impr5,1035555,1180059,7302418,7850674,4044440,1643894562249,VIEW,8278695,USER_ID9,2705461
ID112,https://fr.aliexpress.com/,impr5,7234384,2576266,4493341,1461023,2816340,1643894562346,CLICK,9042810,USER_ID ,7231191
ID113,https://www.amazon.fr/,"impr,",1336372,9321054,7296641,3552328,434918,1643894562441,CONVERSION,6058483,USER_ID1,2984345
ID114,https://fr.aliexpress.com/,impr5,6666728,6825988,466651,5471458,3570890,1643894562539,CLICK,8643592,USER_ID0,8381144
ID115,https://shopping.google.fr/,impr1,4522964,67226,5061622,5222118,8223825,1643894562638,CONVERSION,4826775,USER_ID9,2527017
ID116,https://www.cdiscount.com/,impr6,8308238,1027358,5280661,9884538,6863283,1643894562738,CONVERSION,7945478,USER_ID ,5986057
ID117,https://www.cdiscount.com/,"impr,",4420312,311609,4686396,4737830,1235149,1643894562839,CONVERSION,6112464,USER_ID0,4932371
ID118,https://shopping.google.fr/,impr6,6062133,635284,7136649,302244,141206,1643894562968,NULL,4820659,USER_ID2,5501489
ID119,https://www.cdiscount.com/,impr9,792921,834253,5349257,1892521,8944179,1643894563069,CONVERSION,9589706,USER_ID3,1845821
ID120,https://shopping.google.fr/,impr3,8435938,3134269,8301575,4801520,2707173,1643894563193,VIEW,1081162,"USER_ID,",6145503
ID121,https://fr.aliexpress.com/,impr5,3688036,1523557,5609058,8326248,7809967,1643894563303,VIEW,3771233,USER_ID5,8723592
ID122,https://fr.aliexpress.com/,impr3,2429046,7258471,7571178,9691532,2085455,1643894563434,CLICK,1237071,"USER_ID,",4496108
ID123,https://fr.aliexpress.com/,impr1,3458523,533185,7897862,6347704,4003059,1643894563579,CLICK,1975962,USER_ID1,7849759
ID124,https://fr.aliexpress.com/,impr2,4415469,5579544,5769364,5545821,4438958,1643894563801,CLICK,4543339,USER_ID2,9380691
ID125,https://fr.aliexpress.com/,impr1,7753455,7265547,9791287,9245989,1326482,1643894564090,CONVERSION,4315078,USER_ID ,3205374
ID126,https://www.amazon.fr/,impr8,8228165,2269275,7606252,6772694,7041946,1643894564208,CONVERSION,6469105,USER_ID6,185916
ID127,https://www.cdiscount.com/,impr5,178896,8938904,5586190,2459358,3483674,1643894564326,CLICK,4891972,USER_ID4,7072027
ID128,https://shopping.google.fr/,impr4,2654074,7289555,9186437,5094380,4113914,1643894564418,NULL,4965681,USER_ID9,4682987
ID129,https://www.amazon.fr/,impr ,9773718,6122317,6542936,2998588,2279722,1643894564531,CLICK,9069635,"USER_ID,",2942222
ID130,https://www.amazon.fr/,impr1,149298,8042351,571414,2682402,9350192,1643894564638,VIEW,6182235,USER_ID9,9392444
ID131,https://shopping.google.fr/,impr3,9128458,7218606,5835856,6064322,3001040,1643894564736,CLICK,6807203,USER_ID5,4836092
ID132,https://fr.aliexpress.com/,impr9,6789981,4041477,4447312,4612675,6692247,1643894564832,VIEW,9265359,USER_ID2,5687185
ID133,https://www.amazon.fr/,impr ,869353,4339619,3680413,2394482,1416067,1643894564971,NULL,622360,USER_ID4,1303093
ID134,https://www.cdiscount.com/,impr ,8994748,2510797,8179274,8440399,4629484,1643894565087,NULL,7600220,USER_ID4,9948504
ID135,https://shopping.google.fr/,impr9,8993340,7943015,4195610,1301309,3398842,1643894565185,NULL,7042307,USER_ID3,9290404
ID136,https://www.amazon.fr/,impr0,5994039,7150455,7251079,5938514,8824857,1643894565301,CLICK,288195,"USER_ID,",3739151
ID137,https://www.amazon.fr/,impr3,9375582,9882069,630122,9950859,9521562,1643894565423,VIEW,8834873,USER_ID3,1099341
ID138,https://www.cdiscount.com/,impr9,2450700,3237864,286334,5793314,7637506,1643894565557,CONVERSION,5774255,USER_ID8,9266941
ID139,https://fr.aliexpress.com/,impr1,8251628,5608680,5649283,3821167,5126329,1643894565688,CONVERSION,8848349,USER_ID1,5963972
ID140,https://fr.aliexpress.com/,impr1,6220463,8654684,2556888,400034,5846418,1643894565814,VIEW,5283414,USER_ID4,2636362
ID141,https://www.cdiscount.com/,impr9,7647207,4383392,2951943,5538803,3675466,1643894565921,VIEW,8266876,USER_ID8,4894095
ID142,https://fr.aliexpress.com/,impr6,3924083,7643384,6788862,3851540,7942481,1643894566034,CLICK,7929884,USER_ID1,3468881
ID143,https://www.amazon.fr/,impr4,4547978,4636727,1539717,7509896,3837996,1643894566149,NULL,5850580,USER_ID5,4716383
ID144,https://www.cdiscount.com/,impr6,2385952,9598926,344605,3807524,3695672,1643894566270,NULL,9201837,USER_ID6,5662249
ID145,https://shopping.google.fr/,impr9,9110029,4385666,6799375,8168172,5130743,1643894566473,CLICK,5982523,USER_ID ,3704051
ID146,https://www.cdiscount.com/,impr2,66991,8896924,9350397,8001042,2141079,1643894566593,NULL,6793950,USER_ID0,8516257
ID147,https://www.amazon.fr/,impr2,8351085,4928717,1211222,5734810,3348076,1643894566692,NULL,1968285,USER_ID7,3502045
ID148,https://fr.aliexpress.com/,impr ,5757372,3720759,7468792,2566895,7166919,1643894566854,NULL,8806793,USER_ID7,1684552
ID149,https://www.amazon.fr/,impr2,2878061,7152788,1303777,1415146,5928143,1643894566975,CONVERSION,2700356,USER_ID0,8689299
ID150,https://fr.aliexpress.com/,impr3,3344352,2001435,9052865,8684176,2908241,1643894567179,CLICK,9688500,USER_ID8,4509097
ID151,https://www.amazon.fr/,impr7,428357,6700729,1100062,1828304,3857030,1643894567375,VIEW,9196727,"USER_ID,",6231494
ID152,https://www.cdiscount.com/,impr5,3599072,6284680,2075048,3754834,7515289,1643894567472,CONVERSION,432672,USER_ID0,2203570
ID153,https://www.cdiscount.com/,impr ,7251739,1553806,9711620,6756480,4567349,1643894567573,NULL,4463794,USER_ID0,1866444
ID154,https://shopping.google.fr/,impr1,8896764,5939684,2187459,1890549,4592726,1643894567669,VIEW,3611488,USER_ID6,5591001
ID155,https://www.cdiscount.com/,impr0,5299768,7092016,4497794,2981626,6820494,1643894567788,NULL,8632586,USER_ID3,835193
ID156,https://fr.aliexpress.com/,"impr,",1151402,3793214,6555906,4575370,4658503,1643894567904,CONVERSION,8145933,USER_ID7,6898455
ID157,https://www.cdiscount.com/,impr6,6926648,2076946,5058176,3285205,8266289,1643894568018,VIEW,7340694,USER_ID ,2828357
ID158,https://www.cdiscount.com/,impr ,8404311,7998166,1423416,8531471,6263436,1643894568217,CONVERSION,6197530,USER_ID7,4578375
ID159,https://fr.aliexpress.com/,"impr,",8471123,8639548,1038802,5514819,5774087,1643894568405,NULL,8027590,USER_ID1,5355798
ID160,https://fr.aliexpress.com/,impr0,4820192,2405574,2171302,4211636,2390727,1643894568515,CLICK,764503,USER_ID2,8225109
ID161,https://www.amazon.fr/,"impr,",8773210,2922667,7935932,7896648,539050,1643894568615,CLICK,4090922,USER_ID4,6539759
ID162,https://fr.aliexpress.com/,impr ,6975042,4720375,2318042,1399066,3602486,1643894568735,NULL,5934132,USER_ID ,1732984
ID163,https://www.amazon.fr/,impr7,3658604,19489,5972653,6640261,8201291,1643894568948,NULL,7496708,USER_ID5,5121433
ID164,https://shopping.google.fr/,impr3,3182578,871654,9241157,4863615,5943495,1643894569154,NULL,3345887,USER_ID7,4633490
ID165,https://fr.aliexpress.com/,impr6,1291250,335402,1773784,4088398,9372908,1643894569272,CLICK,7880008,USER_ID3,5243747
ID166,https://www.cdiscount.com/,"impr,",2530770,5856810,4375623,3015553,4773874,1643894569397,VIEW,4007593,USER_ID ,1886474
ID167,https://www.cdiscount.com/,impr7,4268427,5524652,9475840,425207,9890540,1643894569507,NULL,6730537,USER_ID3,9581207
ID168,https://fr.aliexpress.com/,"impr,",5407407,2167418,1072409,5494828,3938081,1643894569609,CONVERSION,3445444,USER_ID6,1752819
ID169,https://shopping.google.fr/,impr5,9252970,1607311,8149185,6245306,2766773,1643894569723,NULL,9458010,USER_ID1,151920
ID170,https://fr.aliexpress.com/,impr ,5310674,413722,5022557,3961326,6953901,1643894569820,CONVERSION,8210988,USER_ID7,4987765
ID171,https://fr.aliexpress.com/,impr3,2312144,1709600,3112961,2060345,1709022,1643894569938,CLICK,9379509,USER_ID0,9854091
ID172,https://fr.aliexpress.com/,impr5,4808200,6257011,6257557,6850653,1375251,1643894570105,NULL,677104,USER_ID1,9777894
ID173,https://shopping.google.fr/,impr3,1031660,4303504,4655128,4031843,4319542,1643894570298,CONVERSION,2088967,USER_ID1,28836
ID174,https://www.amazon.fr/,impr2,1370532,4884502,6640932,2038665,298647,1643894570418,NULL,7792092,USER_ID2,5492592
ID175,https://fr.aliexpress.com/,impr9,3836792,4887315,37872,423809,1972465,1643894570536,VIEW,9715753,USER_ID6,9415388
ID176,https://www.cdiscount.com/,impr4,338990,3112859,1195808,5906857,1710180,1643894570645,VIEW,881685,USER_ID3,7715996
ID177,https://fr.aliexpress.com/,impr ,7619439,2867894,1742521,789403,535422,1643894570749,NULL,1219026,USER_ID9,2210561
ID178,https://fr.aliexpress.com/,impr3,4418652,4360375,734502,7420250,5998603,1643894570905,NULL,1871368,USER_ID1,7363398
ID179,https://www.cdiscount.com/,impr6,9089394,1377890,1230953,9576506,171903,1643894571057,CONVERSION,9907616,USER_ID3,8851464
ID180,https://shopping.google.fr/,impr0,2374282,9126907,1684478,4569204,9869954,1643894571173,VIEW,8543681,USER_ID7,4626269
ID181,https://www.amazon.fr/,impr ,786919,7520404,2667527,2614696,3928140,1643894571291,CLICK,7996779,USER_ID ,1546382
ID182,https://www.cdiscount.com/,impr1,4789867,5788278,5492252,6318569,1982468,1643894571511,NULL,5422056,USER_ID4,6448585
ID183,https://fr.aliexpress.com/,impr7,6160354,3133276,9654311,886754,2534635,1643894571623,NULL,3887393,USER_ID4,9885748
ID184,https://www.cdiscount.com/,impr ,3011758,1386925,186403,1733749,2387792,1643894571719,NULL,3294042,USER_ID8,396231
ID185,https://fr.aliexpress.com/,"impr,",8797204,9363596,8283819,1053735,3339638,1643894571818,CONVERSION,829260,USER_ID2,7486850
ID186,https://www.cdiscount.com/,impr5,6015194,9221579,1639549,9625999,3121065,1643894571937,CONVERSION,1996816,USER_ID9,7528908
ID187,https://fr.aliexpress.com/,impr1,2603039,8120108,9941582,8578061,3919982,1643894572041,VIEW,888652,USER_ID6,2500964
ID188,https://shopping.google.fr/,impr5,4488213,869754,8479011,7278657,3676622,1643894572143,VIEW,7014450,USER_ID9,6011633
ID189,https://www.cdiscount.com/,impr ,1678532,1010896,1969136,2146015,7437381,1643894572241,CONVERSION,9463906,USER_ID2,4767253
ID190,https://www.amazon.fr/,impr4,9989804,3551500,4238228,9724826,9092479,1643894572344,CONVERSION,7538938,USER_ID1,371496
ID191,https://www.amazon.fr/,impr5,4443041,7171656,2212727,5384914,5512784,1643894572549,VIEW,2271879,USER_ID4,3821840
ID192,https://shopping.google.fr/,impr4,3883218,702163,1988746,399302,6898061,1643894572701,NULL,9755302,USER_ID4,5299387
ID193,https://shopping.google.fr/,impr6,592093,8926867,9119735,6450927,3243152,1643894572806,NULL,7530835,USER_ID7,762079
ID194,https://www.cdiscount.com/,"impr,",2400460,4920359,3032032,7430187,1228193,1643894572920,NULL,6558038,USER_ID ,5377545
ID195,https://fr.aliexpress.com/,impr8,6456044,7904627,6936980,5816628,2621936,1643894573034,CONVERSION,7932821,"USER_ID,",9951816
ID196,https://www.cdiscount.com/,impr5,6927734,1610232,1409482,2464318,2974239,1643894573134,CONVERSION,9814705,USER_ID0,4865241
ID197,https://fr.aliexpress.com/,impr7,5365864,4307455,2959822,329841,6067210,1643894573240,VIEW,5869252,USER_ID7,2324056
ID198,https://www.amazon.fr/,impr3,5508844,4427432,9594291,2064516,3792594,1643894573369,VIEW,1990405,USER_ID6,7611278
ID199,https://www.cdiscount.com/,impr ,3973136,8910398,2845034,1838704,7922165,1643894573469,VIEW,8433307,USER_ID3,1294409
ID200,https://fr.aliexpress.com/,impr9,3300230,9921728,6863631,381434,3937388,1643894573618,CONVERSION,7845987,USER_ID ,7036993
ID201,https://shopping.google.fr/,impr ,1317506,7126802,4769591,2181401,4494219,1643894573737,CONVERSION,8173751,USER_ID7,5881743
ID202,https://shopping.google.fr/,impr0,6912676,9505275,911746,3486877,9049938,1643894573836,VIEW,6588920,USER_ID6,6111959
ID203,https://www.cdiscount.com/,impr0,1568438,7820957,7015096,1098228,6696476,1643894573959,CLICK,8315626,"USER_ID,",2657009
ID204,https://fr.aliexpress.com/,impr9,7852043,60651,3064812,6168784,2262209,1643894574059,VIEW,5232676,USER_ID0,2708504
ID205,https://shopping.google.fr/,impr8,3986642,5144100,7315792,2817033,1957126,1643894574158,CLICK,38646,USER_ID2,5647460
ID206,https://www.amazon.fr/,impr4,9025958,75009,8277651,6896972,3747212,1643894574276,VIEW,2285441,USER_ID7,1125380
