Landing Page URL ID,Referrer URL,Impression ID,Asset ID,Active View: Eligible Impressions,Active View: Measurable Impressions,Active View: Viewable Impressions,Activity ID,Event Time,Event Type,Event Sub-Type,User ID,Advertiser ID,Campaign ID,Floodlight Configuration,Ad ID,Rendering ID,Creative Version,Site ID (DCM),Placement ID,Country Code,State/Region,Browser/Platform ID,Browser/Platform Version,Operating System ID,Designated Market Area (DMA) ID,City ID,ZIP/Postal Code,Other Data,ORD Value,Interaction Time,Conversion ID,Segment Value 1,Rich Media Event ID,Rich Media Event Type ID,Total Conversions,Total Revenue,Event Timers,Event Counters,Partner1 ID,Partner2 ID,Google Click ID
ID : 10,https://fnac.com,impr : 6,3617101,1042546,2968906,1846994,8633488,1645215225156,CLICK,220694,13392601-69df-499f-8125-04f228948aff,6389234,9087639,1067791,1279643,4303297,6259,2486951,4959947,,LA,345978365835376,Chrome,23091978,1526195,1874651,1107,'ProduitF':'E',ORD_value343L95,42068,2,1059375,6020390,4660843,qty=4,319000,etm = 619041,ecn = 6891177,jdhdyxftgludclf152036,rppowqkudnjfjpl781821,<nav a=https://ebay.com?njhpumqhqskeypj>
ID : 11,https://Booking.com,impr : 8,5876410,5510876,3034117,560473,5894874,1645215229219,,968562,e55c3a2d-67fd-4488-8b5a-38f491306fab,8998290,1065131,1197491,4484942,7767919,4649,1590756,1641671,,ID,345978365835376,Chrome,536637292,8330120,6430599,5832,'ProduitL':'R',ORD_value735v170,991314,2,3521980,2507182,2121960,qty=9,3302000,etm = 931747,ecn = 1547847,swmhyrlktozudka567338,hhkrfpqzrhnyzje516312,<option a=https://www.rueducommerce.fr?wkcpqxlcqwewpbw>
ID : 12,https://airexpress.com,impr : 3,7479337,5753684,7738056,3292770,6742550,1645215233288,CLICK,1196240,0a8425bb-e952-42c7-a84e-f2c362a9ebad,4149730,1986120,5029943,3653220,6084546,4578,4617895,1830565,,AZ,4534637355634,Brave,5667292028,6578666,7190660,6912,'ProduitF':'w',ORD_value792K657,624864,1,1220714,7058215,1167251,qty=4,5380000,etm = 325442,ecn = 7337669,euccegmirzmriai761876,cknlanjjyvymfhd346287,<a href=https://www.rueducommerce.fr?ggqpfmghpgsnymj>
ID : 13,https://www.oscaro.com,impr : 8,5549711,7531506,5105297,3297445,3005627,1645215237284,CLICK,2957226,5a9f3924-f714-41ea-9432-d60ef22c603c,7038522,8171212,7892383,7401351,4380364,8284,992467,2855147,,DE,2109367534582756,Microsoft Edge,23091978,2400667,5394181,9634,'ProduitD':'l',ORD_value902c600,872464,1,1988751,1695736,4918640,qty=[,7133000,etm = 271782,ecn = 607924,nvyylibxatekjrr274007,dlzfxhpmephxino360340,<nav a=https://Booking.com?gsmbfddsmcyecdq>
ID : 14,https://ebay.com,"impr : ,",2888546,184017,8241471,2020601,6234439,1645215241332,,3376215,f43a4a54-5c44-4d50-9379-9f9479b35ad9,2456919,4458951,3354716,535465,7126573,412,3884976,3097858,,NH,4534637355634,Brave,536637292,1301303,3265554,6888,'ProduitD':'0',ORD_value155q291,772584,0,9228423,9337034,6854933,qty=9,9702000,etm = 430154,ecn = 7657321,awmzblkzcsktbnp626491,pxeoyjtqhfrolhf296103,<h2 a=https://Booking.com?iequecvpbqmkvuy>
ID : 15,https://Booking.com,impr : 6,7158308,2152347,3625420,5027488,5920120,1645215245118,,2476644,e55c3a2d-67fd-4488-8b5a-38f491306fab,5444765,3546734,596569,3543629,5333896,6435,7727057,4773070,,VT,4534637355634,Brave,246578965,9444497,9436393,519,'ProduitC':'i',ORD_value7U157,429875,1,6322005,2144290,1061246,qty=7,3545000,etm = 450973,ecn = 4414988,jvhcvqrodubmneg240328,pigqgxjcaxuqojr298551,<iframe a=https://www.oscaro.com?dqrtdkpqyjjghrw>
ID : 16,https://www.oscaro.com,impr : 2,6571000,8436708,3291201,2031191,5648935,1645215249219,,7616130,859eece9-5661-4779-847f-8ca8c018e817,6491949,6009994,5247690,3455068,9924072,1400,2209246,2576629,,PA,4534637355634,Brave,23091978,902543,412166,9276,'ProduitL':'I',ORD_value488e117,521083,0,4038465,413921,6909327,qty=],5864000,etm = 359753,ecn = 8247482,teyquhqvtsimayq707862,wxvivnhoejtxgal420775,<h2 a=https://www.cdiscount.com?uyrdczvvsgvgjdl>
ID : 17,https://airexpress.com,impr :  ,9692076,6207918,1606689,7246700,8461025,1645215253372,CONVERSION,4114815,7f1ab347-ca82-4fda-ae17-5303929ea941,3945667,3028343,5906512,2030075,2417708,8768,482465,29980,,TX,345978365835376,Chrome,23091978,7864126,47382,3545,'ProduitL':'8',ORD_value543A970,803154,2,8969871,5268553,6853455,qty=1,8453000,etm = 645997,ecn = 2304466,kbpnmaecygtgwlj412903,injjcsihwnpauau969978,<button onclick=https://www.cdiscount.com?btwesoepnebzvpx>
ID : 18,https://www.rueducommerce.fr,impr : 8,5610119,3110840,5781898,5732051,3396379,1645215257703,CLICK,2519856,47259d1e-c172-4886-a893-675658ed9272,5932334,6625810,2775731,9130920,7211402,4714,2890254,7549130,,WV,345978365835376,Chrome,536637292,7581480,5332336,2015,'ProduitE':'1',ORD_value401X688,178397,1,932225,4654413,4576076,qty=[,9202000,etm = 677072,ecn = 2804509,qgoqtfgxhvkeehr87343,bxfmnhapebjfrlf381196,<h1 a=https://Booking.com?ntcgmttlderwqqd>
ID : 19,https://www.rueducommerce.fr,impr : 6,960268,1087529,5386619,7009922,3462106,1645215261994,CONVERSION,7007663,6e026b7c-b6d3-4608-8d04-8077cea6853e,3949543,6205859,9022734,5356675,3382491,5149,2949696,4120108,,NV,8753685264337,Mozilla Firefox,23091978,9810428,8566712,9876,'ProduitF':'a',ORD_value246c608,725735,0,5579928,7217195,7384420,qty=9,1728000,etm = 639455,ecn = 2708677,hjmotmbuhfxwrju931952,yrhkrmsfwxcutlo180098,<a href=https://alibaba.com?ykaitplnglpsbig>
ID : 20,https://techbargains.com,impr :  ,1181188,2703238,3743989,502577,7044588,1645215266235,CLICK,6624979,6fe870e6-e32c-45f0-8631-dea44fc0ee01,2706851,8213018,874832,3584293,7648896,7638,1474799,1081023,,FL,345978365835376,Chrome,536637292,2581329,2285855,7906,'ProduitA':'e',ORD_value1822295,67556,1,1834508,3329391,9119045,qty=5,4458000,etm = 893700,ecn = 2776527,niiewiosyvpnjdc653360,ysvqikvpznkjequ672769,<option a=https://techbargains.com?onzfxsnlhxcdrmn>
ID : 21,https://backmarcket.com,impr : 7,3319662,575412,9681726,4989667,1897112,1645215270546,,2597378,94912dae-3226-4e2e-b473-bfed721c4d5a,1891018,2340024,5022403,7940185,752275,8207,7640116,6426498,,WA,345978365835376,Chrome,536637292,4468550,2759520,5723,'ProduitE':'j',ORD_value593M800,790401,2,888687,472550,8051113,qty=[,902000,etm = 720725,ecn = 4065829,efazmvulkciaagd589078,udgbrvwkuicndlz869206,<option a=https://shopping.google.fr?qvalsilubuqzlme>
ID : 22,https://techbargains.com,impr : 2,723505,876211,2620065,8729196,623450,1645215275004,CONVERSION,3883485,b99d2d13-cd30-4e5b-abb3-2a7bd8829951,7655842,4834965,234542,825400,4476641,3459,4481818,8173797,,NE,8753685264337,Mozilla Firefox,536637292,641706,6380505,1384,'ProduitE':'l',ORD_value310794,278300,0,2081225,9109104,5647727,qty=6,6333000,etm = 54203,ecn = 2082899,apinkxbjpgygvil902378,qffxfljagwkmjhv120299,<h1 a=https://airexpress.com?zxjfqmuftazwokq>
ID : 23,https://alibaba.com,impr : 1,6639898,4531446,5811681,4754496,3379319,1645215279145,CLICK,3764070,591ef8c4-a05a-4c91-8289-fcac6cfa4058,1181349,9971514,8066353,1647266,2778553,5380,7037119,7273553,,MI,4534637355634,Brave,5667292028,6280175,8839572,6043,'ProduitE':'R',ORD_value28X137,938519,1,5074372,6925806,9519247,qty=],3491000,etm = 291950,ecn = 6374332,kwysnouajxtluuq239003,iamglvbbbdnzbsi277007,<nav a=https://www.oscaro.com?burryedztwwvlaq>
ID : 24,https://ebay.com,impr : 3,3914364,3162032,8912901,4749929,463168,1645215283497,CLICK,2020029,1efbf606-c128-45cc-beb7-15be0db00548,1179796,8184089,1459446,7850660,6256290,7364,9175160,7027763,,LA,345978365835376,Chrome,23091978,5926933,8015405,5271,'ProduitB':'Y',ORD_value26m313,125893,1,2521683,2667895,2699926,qty=2,7308000,etm = 563735,ecn = 3559489,bofshyggarigjtp549548,cibhomrnxdrcjwp364362,<nav a=https://backmarcket.com?dhcbqclnbentgiy>
ID : 25,https://www.cdiscount.com,impr : 2,5113817,7644330,5113930,7164970,4007781,1645215287944,,3547481,11991e03-962f-4f7f-b02e-75cd57fbadb6,9479574,9970092,7583296,7766021,8319531,5610,3887531,1333133,,HI,65784523663644,Brave,536637292,5986382,5360698,9841,'ProduitA':'O',ORD_value668V581,887486,0,3351591,1915370,7657890,qty=],1044000,etm = 865221,ecn = 3441834,qduradzsbaywbqx399577,mkyrnnfhbcizdsv120772,<img src=https://airexpress.com?ckfsvbsszahtlwv>
ID : 26,https://www.oscaro.com,impr : 1,9054226,3295276,7362258,6074135,2928348,1645215292277,,2104599,403dfe26-769b-438f-904f-797e09fccdda,6421661,4501632,2753122,7706718,1959166,5425,7808591,7880165,,HI,4534637355634,Brave,5667292028,5794439,3968438,9905,'ProduitG':'R',ORD_value596I287,869867,2,5778297,5953720,9285239,qty=5,3437000,etm = 435883,ecn = 6557259,xoogmqiqsyklnpl868166,lwzxxgtjjsgdege475706,<nav a=https://fnac.com?yrxcpbypdvvcmva>
ID : 27,https://ebay.com,"impr : ,",88812,3623094,1704492,1836209,1919103,1645215296553,CLICK,9371518,45abbd92-cb8d-432f-95a5-42c4b1dba9c3,270472,954202,7668932,9449175,7701261,6480,1908320,6091154,,TX,65784523663644,Brave,23091978,8116974,7764299,660,'ProduitF':'7',ORD_value574S702,861665,2,5682641,5745839,1302572,qty=2,584000,etm = 846007,ecn = 8338831,juemrtzhmcqntlz959368,doqyjfhlilgdcri86284,<nav a=https://Booking.com?otkybusdgujfxef>
ID : 28,https://www.oscaro.com,impr : 7,2108573,315269,284022,6487090,2328502,1645215301276,VIEW,169927,16bda73d-f4d9-423c-8851-7dc4a185eefe,1145300,1363425,793655,214616,5528741,3907,4867928,7171822,,WY,4534637355634,Brave,5667292028,1499610,3029811,6833,'ProduitG':'x',ORD_value917y230,624282,0,3429588,6105875,723183,qty=8,9124000,etm = 879862,ecn = 8897422,ctdhxlrfmfbgwan699192,nqvjmecfddahwuk755355,<h1 a=https://ebay.com?kvhyqbxslapnasg>
ID : 29,https://backmarcket.com,impr : 8,1578791,7154277,4491160,7798134,4617117,1645215305875,,7483928,56a5efe9-059d-4625-95c3-bb4b61cf5341,4502396,6504980,7366008,1328943,9680323,7573,3342295,6781999,,GA,65784523663644,Brave,536637292,4272903,243310,7863,'ProduitB':'K',ORD_value41D61,8226,1,4412174,846830,9496933,qty=6,5374000,etm = 425457,ecn = 6799681,dtlagqiqbxmkgto966165,cfyddysxpvtnclx50682,<button onclick=https://alibaba.com?nxylsqnyjlapfnz>
ID : 30,https://Booking.com,impr :  ,3850456,5773868,8670043,9631251,6544339,1645215310245,CLICK,5988620,403dfe26-769b-438f-904f-797e09fccdda,7410442,7662519,584205,3081630,1218241,7627,6124106,4889095,,FL,345978365835376,Chrome,536637292,8972320,2421903,2629,'ProduitL':'n',ORD_value660S155,468160,1,8980529,6092148,378728,qty=6,1857000,etm = 821402,ecn = 9008804,tflhnfodbjantzs879494,dotmcrjlowiuxti376655,<a href=https://fnac.com?voklwvyyoiwqtnu>
ID : 31,https://techbargains.com,impr : 7,8750444,8495582,8769438,5344717,1836616,1645215314718,CLICK,6811386,6c24af3f-2fd9-475c-8ad9-da85c4156416,5062666,1799115,6230599,2428590,3830076,7908,485903,542892,,ID,4534637355634,Brave,536637292,2793720,1616274,1856,'ProduitF':'W',ORD_value333q267,551917,1,6147280,5351721,406437,qty=],455000,etm = 998160,ecn = 746402,bqmrfuhskpmuypf743037,eepqiqhkmkqrwud399895,<button onclick=https://Booking.com?ptjzdjwktsnafam>
ID : 32,https://www.amazon.com,impr : 1,5732352,9967478,2784928,8080946,8478311,1645215319142,,8569175,df33c2e9-1bb7-46de-84ae-8a0fde0720a6,431204,5821687,6664672,5549458,6173338,7178,6445843,9101700,,VA,65784523663644,Brave,5667292028,8496991,9986784,4080,'ProduitL':'U',ORD_value966q196,255951,0,7923898,3512625,6623320,qty=9,5595000,etm = 621081,ecn = 5957418,mmirieabilfuspj542145,inskhppnowmyqli17501,<img src=https://alibaba.com?hhcdtzrdlvvmeek>
ID : 33,https://backmarcket.com,impr : 8,2363212,2682785,2528419,1676816,3862858,1645215323357,CLICK,5468886,f43a4a54-5c44-4d50-9379-9f9479b35ad9,7336027,2783810,6229179,9033711,6718760,9600,7051421,9444142,,MD,8753685264337,Mozilla Firefox,23091978,7471422,576120,8379,'ProduitB':'Q',ORD_value468314,324126,1,1457782,6126125,9514507,qty=6,734000,etm = 789024,ecn = 9703643,ytvdaishuupzgrn997029,gmknketgshuzfop785566,<nav a=https://Booking.com?mosnfqgyynhktrb>
ID : 34,https://backmarcket.com,impr : 5,3896802,858119,8527134,2434329,9992311,1645215327487,CLICK,7691914,c480d49b-c3a6-41fd-8c49-4e65cb0cb53e,4514288,436366,3566031,4213534,4447255,3804,2736456,3437254,,AZ,2109367534582756,Microsoft Edge,5667292028,9231463,8993919,9127,'ProduitE':'U',ORD_value567191,986013,0,2941396,7104073,9464251,qty=2,4145000,etm = 827099,ecn = 6119175,rdeeybirwxzealr714590,tiwkkgviwoungfc800782,<a href=https://techbargains.com?qrqqtgchzgghawv>
ID : 35,https://backmarcket.com,impr : 1,854983,2643041,5976754,5665747,8623380,1645215331686,VIEW,9452550,1efbf606-c128-45cc-beb7-15be0db00548,8594875,3900384,1058154,9068145,6206981,1818,3851567,7608705,,AL,345978365835376,Chrome,246578965,5482724,2396211,1339,'ProduitD':'C',ORD_value217j262,403273,0,2841748,5119029,8555488,qty=],4783000,etm = 850530,ecn = 5351383,rkjuivyuzubgffb553632,kzkbmvidfzuhwim267276,<h1 a=https://www.rueducommerce.fr?rbcnkmdpywwfuja>
ID : 36,https://Booking.com,impr : 2,9249914,4665921,2920294,4914832,1568124,1645215335712,VIEW,2753805,2d5f288a-c0d9-453d-8e2a-62fdda5e7043,5390610,1309318,8941888,2407088,9122207,3085,8569958,2196603,,WY,65784523663644,Brave,23091978,6938707,821766,1272,'ProduitF':'8',ORD_value885n884,999546,2,3783343,2561885,5723523,qty=],3817000,etm = 291343,ecn = 9019545,mfveaczyxmkavln799900,okhnvkqmdocrqxe843465,<h2 a=https://backmarcket.com?pimrhumendpwgtz>
ID : 37,https://www.rueducommerce.fr,impr : 3,3054667,7203773,3587397,2070007,6624882,1645215339733,VIEW,4088268,16bda73d-f4d9-423c-8851-7dc4a185eefe,1374912,6886027,7082445,7480925,7159222,9355,291118,3842159,,MI,65784523663644,Brave,5667292028,5574763,6317181,1384,'ProduitG':'C',ORD_value5252252,137912,2,9663110,5599248,8543056,qty=[,3895000,etm = 789768,ecn = 5406831,uvnmqdryquzvdet779663,lmauswkzfejxyuo385212,<option a=https://www.oscaro.com?wcdqrydaelltzwy>
ID : 38,https://techbargains.com,impr :  ,559019,8204446,2030191,4157492,736805,1645215343745,,6739628,515060a1-179e-4898-b365-93a5dafef45c,6321774,3343078,6873211,636468,4633058,9818,1989392,8747419,,ME,2109367534582756,Microsoft Edge,9876543098,7580015,9101216,1871,'ProduitF':'O',ORD_value522l771,58824,0,1625962,1763081,9299783,qty=0,6957000,etm = 170695,ecn = 2244516,dknwstpobykkvma822989,jbrdblijditybtr677756,<iframe a=https://shopping.google.fr?eivrfiwurgnlzfy>
ID : 39,https://www.rueducommerce.fr,impr : 8,2132692,5453141,7186748,9356378,7267772,1645215347722,CLICK,645713,8b069f4d-75fd-4d34-8dc5-f95dafe6d95e,3124658,4982097,534589,8264755,525596,2800,3624433,8035531,,KS,4534637355634,Brave,536637292,9557445,4297864,7084,'ProduitB':'b',ORD_value56o540,870308,0,9472081,1240077,4939697,qty=[,5190000,etm = 434489,ecn = 1895426,zlfwrzcspeiajhd224888,hjnnnzlzphemhnz213194,<h1 a=https://www.amazon.com?engmtdczajzctwo>
ID : 40,https://ebay.com,"impr : ,",6038116,8042783,7880198,6697425,5906726,1645215352035,CONVERSION,6726718,6e026b7c-b6d3-4608-8d04-8077cea6853e,9008431,2676882,924280,8342538,4860500,9319,9209923,4419715,,ID,2109367534582756,Microsoft Edge,5667292028,2797643,8393166,6478,'ProduitD':'n',ORD_value200f58,8561,0,7025782,6054389,359009,qty=2,3664000,etm = 704401,ecn = 3044903,ebwdoqkohqzteci53031,rcaakjpqmnrfvio517133,<a href=https://www.amazon.com?thamlxroqmvmfjf>
ID : 41,https://www.rueducommerce.fr,impr : 6,738915,4859181,7064401,140612,531681,1645215355894,CLICK,14354,8e720c7a-6666-42a8-ae5c-e67445d2d5b3,4021810,3728273,9880138,7576618,1395780,9018,8221204,5295681,,HI,65784523663644,Brave,9876543098,8623598,7266082,9196,'ProduitD':'O',ORD_value697P703,636006,1,6877296,6589348,3641480,qty=2,6378000,etm = 306044,ecn = 3233276,yygbyerjwikigzb432099,vgiqkjkazuiaalu179508,<iframe a=https://backmarcket.com?yrrzjddbtxzanpy>
ID : 42,https://fnac.com,"impr : ,",3864643,4504582,1432565,2747140,3443799,1645215359836,,6058634,6fe870e6-e32c-45f0-8631-dea44fc0ee01,7619911,6053993,1763039,7690533,4601145,6482,8127958,6049555,,OH,8753685264337,Mozilla Firefox,5667292028,5765231,7001658,9017,'ProduitB':'k',ORD_value654g756,963479,1,9851085,9491559,1200310,qty=[,7124000,etm = 790803,ecn = 5029903,kwgznannxfycamu520437,zorczpqocwqrifb767583,<option a=https://alibaba.com?qoealudnqklspif>
ID : 43,https://techbargains.com,impr : 6,1246369,8105005,5520119,471015,2500916,1645215363852,CONVERSION,7695360,9e2c181e-9c13-4c68-9c06-e07405b14a5b,4102398,1192377,6362238,5542979,5472811,7035,8296385,2165542,,ME,2109367534582756,Microsoft Edge,536637292,5123617,8858543,4221,'ProduitL':'1',ORD_value88Y926,959996,1,9621753,2092124,8993071,qty=8,4160000,etm = 934964,ecn = 6672166,szlhlinqtspmfmo619602,zfyxtyedutpidcx15407,<button onclick=https://www.amazon.com?hszxsknoxztjhwp>
ID : 44,https://airexpress.com,impr : 4,8403378,93647,5837146,6905917,4839449,1645215367839,VIEW,6731713,94912dae-3226-4e2e-b473-bfed721c4d5a,8345833,9617388,4828823,811970,3226596,3344,6867658,1436791,,WI,2109367534582756,Microsoft Edge,5667292028,1963403,3761869,1157,'ProduitG':'j',ORD_value324w211,234892,0,8826730,909567,5262374,qty=6,4004000,etm = 137142,ecn = 3416044,ecstrgvjswuoeef966316,eybzisufdmineqd702618,<nav a=https://techbargains.com?vllceogrtxldivq>
ID : 45,https://fnac.com,impr : 1,3847362,6246530,9667431,470588,5495370,1645215371707,,5044000,8df7d2b9-23bd-4bf7-83b1-8c85d924e728,9622604,8038584,2946048,6488091,2913481,153,4453012,5232530,,WV,345978365835376,Chrome,5667292028,7115740,9168094,822,'ProduitG':'L',ORD_value2561902,26715,0,2401443,8495490,7344456,qty=6,5646000,etm = 36778,ecn = 792109,oxqbyyakxeculna562440,iokaowqibduheli119,<nav a=https://Booking.com?ydpyigjiqfuwezh>
ID : 46,https://ebay.com,impr : 9,7602482,1582161,4004448,7984836,7849767,1645215375598,VIEW,8538633,623d7961-cc68-46ba-bab6-a0f050e3294e,9718170,4228332,9134651,8641511,1962221,7331,1514257,9781816,,NE,4534637355634,Brave,536637292,3640862,3039795,3309,'ProduitC':'q',ORD_value166t80,640586,2,1446763,5093069,9365289,qty=4,2092000,etm = 895325,ecn = 2626670,jmiownrcckgsebi233755,xfzlchmcpleokfw511685,<button onclick=https://fnac.com?ljjxlibjgfkanez>
ID : 47,https://techbargains.com,impr : 4,1258664,117330,7787400,1341934,3747086,1645215379568,VIEW,1171134,cee88382-9c1f-47d4-8d19-47470d62fca9,4052408,3622873,771558,1269395,5994603,8054,5955438,166495,,NJ,2109367534582756,Microsoft Edge,5667292028,6750026,4341218,2620,'ProduitB':'V',ORD_value990Q243,52104,2,641828,8442046,1262707,qty=8,2067000,etm = 465313,ecn = 2729425,cckpsjnplngzoyh901092,mhbrrjhfngfrdrk623093,<option a=https://backmarcket.com?xxkltixopijktqg>
ID : 48,https://www.amazon.com,"impr : ,",7337455,2919460,6965054,387908,9800331,1645215383601,CONVERSION,1841898,13392601-69df-499f-8125-04f228948aff,3915110,3566596,6433293,8963535,1072048,1891,4221450,6453921,,ID,345978365835376,Chrome,246578965,7268295,5606366,388,'ProduitF':'3',ORD_value648L936,614540,1,7116656,8085414,8520438,qty=6,6760000,etm = 251741,ecn = 9666156,lzkbjwlucejyrjh569061,avbicpfepsilpvw20838,<h2 a=https://alibaba.com?lqsufqpxzdgmvcn>
ID : 49,https://fnac.com,"impr : ,",9498532,431384,3622862,5379431,7140400,1645215387561,CLICK,6173872,11991e03-962f-4f7f-b02e-75cd57fbadb6,307662,1742329,9311474,4141252,6432505,1162,9395039,7611206,,GA,8753685264337,Mozilla Firefox,246578965,4479641,9037658,1937,'ProduitG':'s',ORD_value365C385,899541,2,3645295,1582181,9939984,qty=3,982000,etm = 439476,ecn = 436944,szrsbmyrlkacrxg898408,ttzscptutqhjjee79929,<h1 a=https://www.rueducommerce.fr?ddglbmvbpjmzjwi>
